"georeg","doy","mean_dsif740","se_dsif740","mean_sif740","se_sif740","ndsif"
"NWA",1,0.562669452856751,0.00203458316434045,1.42941679322989,0.00569143556072538,8917
"NWA",17,0.544873660793897,0.00202759533837962,1.46931678692144,0.00670809747377857,10656
"NWA",33,0.506382741168103,0.00737230789839501,0.942091224739055,0.0137312757491859,778
"NWA",49,0.529216967034557,0.00205741000790246,1.45043932473593,0.00608755848393474,11194
"NWA",65,0.476937695439447,0.00356823824926749,1.18105464341915,0.00962661075692144,4844
"NWA",81,0.501432750130037,0.00168688427857233,1.37615502599087,0.00532447187197415,14502
"NWA",97,0.471730767466982,0.00313745823595832,0.935392242451613,0.00629696428918385,3438
"NWA",113,0.454670531253949,0.00196805675507505,1.2489853174168,0.00558982019303125,11633
"NWA",129,0.363442270778971,0.00468854268617875,0.816029802601935,0.0111706116550474,3391
"NWA",145,0.439207416565193,0.00141476643714801,1.24862512262889,0.00405190293901351,22189
"NWA",161,0.435134406949653,0.00221267792096902,1.04067279880755,0.00555976489489703,5246
"NWA",177,0.428845428489788,0.001257763583519,1.25154538274624,0.00396543093613686,18752
"NWA",193,0.398573465396489,0.00204138461405574,1.09607221948819,0.00611104193054163,7366
"NWA",209,0.475059699481738,0.00167363284133246,1.27778811920956,0.00518843779325608,10607
"NWA",225,0.433923173884379,0.00268121909145755,1.14273750565684,0.0079209865629119,6282
"NWA",241,0.461185057893762,0.00129691124372415,1.22005957635659,0.00396323153000636,18567
"NWA",257,0.525693188273736,0.00164638557458074,1.40692505873338,0.00540079236696641,16175
"NWA",273,0.602611163516018,0.00158942624686024,1.61980944770193,0.00482201338774286,16819
"NWA",289,0.563278576948664,0.00207224566801114,1.45399787645638,0.0064121249574945,10768
"NWA",305,0.559745490867293,0.00222846669920603,1.44530924946311,0.0064888147506421,10741
"NWA",321,0.588072834678016,0.00146015613670936,1.66308634435797,0.00445155989847793,18563
"NWA",337,0.558232914134179,0.0026507790049508,1.45252088770347,0.00731522025140229,4487
"NWA",353,0.552482287730355,0.00181228480776151,1.48055305507755,0.00527027635965545,13879
"NOA",1,0.503465645934951,0.00126832421447326,1.34970930042958,0.00371148029621045,22707
"NOA",17,0.503889276393558,0.00170135369671729,1.47702637961732,0.0054915392507491,13166
"NOA",33,0.475247843405171,0.00374288649520065,0.994673556981537,0.00873795050158891,3688
"NOA",49,0.505443711603038,0.00141664542357875,1.42425568338248,0.0043201038682252,21192
"NOA",65,0.49182726986986,0.00270367027389266,1.16124204388751,0.00684150704571922,7618
"NOA",81,0.516170469417724,0.00158469064285863,1.46591325950116,0.00490484442423223,16524
"NOA",97,0.486043488706853,0.00205864574356588,0.961344833511474,0.0043374391709591,8881
"NOA",113,0.502246994802932,0.00144067367948651,1.36101514731613,0.0040882192328461,22279
"NOA",129,0.366911319526226,0.00261976351404828,0.716511497018435,0.00531583234643231,6449
"NOA",145,0.469420183362146,0.00110681094418131,1.27086072860552,0.00327124567207741,33719
"NOA",161,0.453583479712743,0.00165685251107781,1.00232273930585,0.00391452976502927,11843
"NOA",177,0.44376975756767,0.00129725072336082,1.20805169310197,0.00382207351752032,24123
"NOA",193,0.387780500246889,0.00206000801313636,0.936713301014123,0.00556188202590217,8526
"NOA",209,0.483520052334004,0.00165620143571309,1.29751900974034,0.00476110018949447,12004
"NOA",225,0.526796481303795,0.00152318900888844,1.40220587836603,0.00484872821029649,16353
"NOA",241,0.4750227402882,0.00117221415885618,1.23348292360736,0.00362740949614674,31863
"NOA",257,0.472399670300553,0.00131040594479176,1.24466454053644,0.00413471363361192,22094
"NOA",273,0.542183522883584,0.00138743941095966,1.41605985941102,0.00418563329679302,21663
"NOA",289,0.53500139523312,0.00124490705699135,1.46357533026976,0.00383177298276056,24096
"NOA",305,0.534219833130534,0.00160241070867638,1.40433476922065,0.0044715958402363,16168
"NOA",321,0.532940758020367,0.00133547365868373,1.55905285575634,0.00401143863091864,19646
"NOA",337,0.487089032416116,0.00324996930453629,1.33109241281774,0.00932864025646366,6092
"NOA",353,0.492407913797513,0.00128922228030973,1.38763266842772,0.00398311700995248,22422
"CA",1,0.536308959801743,0.00174697194603567,1.46616765600058,0.0051583433952746,10879
"CA",17,0.552802267731005,0.0022425886014531,1.52532296492641,0.00747303916084783,8194
"CA",33,0.531439407055194,0.00342772654143828,1.16516189224346,0.00773160076529192,2990
"CA",49,0.51778599182051,0.00178290461753829,1.35701044173318,0.00583201241775985,12137
"CA",65,0.484509485234918,0.00209730539533439,1.14547270706019,0.00547414653460182,9700
"CA",81,0.522870691295763,0.00163480606993688,1.52659762840332,0.0050129088401006,13494
"CA",97,0.456063401562861,0.00285135068253167,0.875059591616439,0.00552269251461044,4026
"CA",113,0.483427744451814,0.00223252604703055,1.30074440288242,0.00568514240523003,14215
"CA",129,0.371087596289217,0.00319846204526731,0.780396557730725,0.00709365439525139,5658
"CA",145,0.452917515246715,0.00161840864348679,1.24506158627258,0.00460307475654281,19549
"CA",161,0.418594753315429,0.00159960279042001,0.960611060271665,0.00390350198226724,8994
"CA",177,0.401287220104832,0.00102435734294631,1.11334464563733,0.0031390124771767,26251
"CA",193,0.374962893495369,0.0017132709773357,0.939697197441558,0.00497641166285685,11735
"CA",209,0.478928381121585,0.00109477011993004,1.35548128838841,0.0035189324912079,18739
"CA",225,0.425282686328987,0.00196762698431845,1.13343924499662,0.00569736941391775,13127
"CA",241,0.460859737226863,0.000950766154539287,1.21292150453974,0.00295685349115184,32431
"CA",257,0.485776619658943,0.00130576949713923,1.26163575992089,0.00423202917918063,22004
"CA",273,0.604167680499965,0.0018192761632669,1.50894604652279,0.00618715233218429,10394
"CA",289,0.572314491990776,0.00172501677718771,1.55593061599368,0.00543325228911068,12843
"CA",305,0.583054109394778,0.00161380314698365,1.49993423380888,0.00449888825213364,13959
"CA",321,0.620825029775004,0.00167761050646553,1.78129869199732,0.0050948814447796,13561
"CA",337,0.525643217296965,0.00272465887600866,1.25997051382815,0.00730175935674752,6035
"CA",353,0.537684778667261,0.00182839699750816,1.43943024361449,0.00541503886945999,10311
"Southern",1,0.713266454480979,0.0018475451317798,1.70326308008902,0.00523438411202508,19190
"Southern",17,0.703847899533075,0.00237263310825532,1.88966642244622,0.00755893036599737,12251
"Southern",33,0.58817100632097,0.00503161751371917,1.31183790169033,0.0138449071834606,2669
"Southern",49,0.611894555501371,0.00166415859898699,1.7207631305251,0.0050696754391625,18444
"Southern",65,0.554550242409178,0.00232902842358493,1.38183197821285,0.0065489888843931,11249
"Southern",81,0.571201336948309,0.00109746189607497,1.63588827993354,0.00333727997845315,36893
"Southern",97,0.552679155148617,0.00353643161713503,1.04793153557918,0.00693272801462019,3528
"Southern",113,0.45874308214973,0.00109341568069194,1.31138578979378,0.00316916717314652,38332
"Southern",129,0.382712170305846,0.00158738297146399,0.898537641933043,0.00390532689047311,15169
"Southern",145,0.4474308357625,0.000819363957263003,1.2924302024545,0.00248466235025256,44253
"Southern",161,0.428795951475641,0.00153940041104512,0.965468502876904,0.00359029201460834,10657
"Southern",177,0.394768113112728,0.000798757800816977,1.15330664606798,0.00233921887448554,61061
"Southern",193,0.346858593937514,0.00121659534207847,0.942016965322276,0.00355270593140743,23640
"Southern",209,0.472408951218104,0.000996440998743678,1.27073325249134,0.00294994904781045,31448
"Southern",225,0.44669102813557,0.00138141598645876,1.13769426040361,0.00400217137741938,18982
"Southern",241,0.43929962317934,0.000878575556958255,1.19618148893757,0.00244637014283155,60900
"Southern",257,0.451257747114321,0.00117131935077415,1.18624587327731,0.00348274183985191,36857
"Southern",273,0.572008424412377,0.00121600683959996,1.49100770156284,0.0035709234272089,35287
"Southern",289,0.590547625053412,0.00141534759190522,1.52584383162545,0.00431778490491491,27614
"Southern",305,0.663784396020561,0.00161786833304479,1.70993982312535,0.00449112053757595,23392
"Southern",321,0.681817942558149,0.00133464933388139,1.84243307289976,0.00406235520520631,34777
"Southern",337,0.632619143931779,0.00233918372985788,1.47891365929373,0.00588329726521337,12948
"Southern",353,0.646378045061207,0.001769738897888,1.68601513654613,0.00502255465473038,19184
