"region","doy","mean_dsif740","se_dsif740","mean_sif740","se_sif740","ndsif"
"all",1,0.583074358007262,0.000927386268214351,1.49174160871773,0.00252545280151483,61693
"all",17,0.578148109006336,0.00111455709523786,1.59830954687416,0.00350806324665845,44267
"all",33,0.524001191315826,0.00227128051270687,1.12458592280635,0.0056203922229578,10125
"all",49,0.543230098776644,0.000865380103517582,1.50280043759521,0.00266092507895555,62967
"all",65,0.508661938350148,0.00129063697288004,1.23380574554661,0.00347914682502144,33411
"all",81,0.539593512232988,0.000724679017349777,1.53700865459058,0.0022342172910583,81413
"all",97,0.489323500015772,0.00138513149478859,0.954746357839033,0.00280282831937062,19873
"all",113,0.473463818684431,0.000762867923445418,1.31402889746486,0.00212995812386488,86459
"all",129,0.375113913033875,0.00124048990683422,0.829339058891236,0.00289799559492787,30667
"all",145,0.452996356273565,0.000573210640066907,1.27049969470492,0.00168071666848837,119710
"all",161,0.43519390079724,0.000861889314755572,0.986897425568487,0.00205945336314551,36740
"all",177,0.410070851210892,0.000525910479424409,1.16954286847489,0.00156445415539472,130187
"all",193,0.367527559776586,0.000824611775993765,0.962738472026671,0.00238027632921793,51267
"all",209,0.476305510760806,0.000631641821958753,1.29799307619493,0.00191025530976389,72798
"all",225,0.464021320265456,0.000886325159679012,1.21626697280993,0.00264291320961429,54744
"all",241,0.454907532177317,0.000530571032708578,1.21130920443757,0.00155844420801801,143761
"all",257,0.476282519925017,0.000675234242231463,1.25336279827354,0.00210176145179448,97130
"all",273,0.57441891280919,0.000738381767985779,1.49967151608103,0.00222949472281601,84163
"all",289,0.565770428897442,0.000780533372575226,1.50078236825823,0.00239307173645399,75321
"all",305,0.596258784379311,0.000903303686786934,1.54319709787629,0.00251673610614308,64260
"all",321,0.618359284311632,0.000766027556942594,1.73006009166026,0.00227898474925336,86547
"all",337,0.569499592829134,0.00144556574589386,1.3997487420844,0.00375023499132245,29562
"all",353,0.557068151314216,0.000863394432419642,1.50234930944607,0.00248421515517968,65796
