"region","doymin","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","ndsif"
"all",1,0.525611383638346,0.000300909998504211,1.50584522520738,0.000825675485844307,5.98264752754728e-07,4.31510352317351e-10,1.71719794047003e-06,1.21841635424467e-09,422031
"all",17,0.525333401456594,0.000320410748841294,1.51911471770241,0.00089322174625652,6.03201747022954e-07,4.58058294742021e-10,1.74744807468017e-06,1.31327068867597e-09,344487
"all",33,0.519294944697988,0.000297521449224308,1.51605540678699,0.000842592955644936,5.96902917255686e-07,4.63444135893044e-10,1.74321111323006e-06,1.33327172234517e-09,399628
"all",49,0.477567319892158,0.000304873453900679,1.39746165600747,0.00087329685531663,5.45890182230807e-07,4.70966650514543e-10,1.59707212602882e-06,1.35887599211372e-09,360296
"all",65,0.487243981492231,0.00029639064728135,1.42319231039007,0.000852420276831168,5.6192747667271e-07,4.71143892675271e-10,1.64160199520876e-06,1.36645448371637e-09,385988
"all",81,0.471919732685204,0.000283202096952984,1.37195585514194,0.000812970912876932,5.53591663518218e-07,4.67392088078792e-10,1.60973170921271e-06,1.35149019566458e-09,366038
"all",97,0.435646334713195,0.00025245504064179,1.26328589839083,0.00072530036807978,5.23290894584329e-07,3.93182958075953e-10,1.51743751569288e-06,1.13460065414074e-09,399994
"all",113,0.431587890171618,0.000222240120301156,1.25020047954915,0.000638561629262157,5.34177689944419e-07,4.00245964720567e-10,1.54748249329506e-06,1.15601493638796e-09,424643
"all",129,0.426462490639161,0.000234464046483442,1.23495151387952,0.000670364406647916,5.44898947680339e-07,3.98206146343811e-10,1.57822155759917e-06,1.14605230563995e-09,418289
"all",145,0.428149968703342,0.00021999156391464,1.24649518574859,0.000632211107037769,5.45283732781834e-07,3.64950901417617e-10,1.58768915591755e-06,1.05427486152891e-09,424444
"all",161,0.429944896948128,0.000205328585984766,1.26046152035169,0.000591914386891416,5.41928086028922e-07,3.4406719849544e-10,1.58858753998475e-06,9.95123071073705e-10,455020
"all",177,0.429267555364846,0.000212480192859228,1.26537749226698,0.000615398102820767,5.37183982673751e-07,3.40960125322048e-10,1.58380424853676e-06,9.9361491752561e-10,449766
"all",193,0.441785177552079,0.0002056094963295,1.30530862909468,0.000598671535345523,5.2634059322067e-07,3.26555480891637e-10,1.55520335896652e-06,9.53967285595679e-10,473985
"all",209,0.442421437121183,0.000205582007116423,1.30263152548053,0.000600883991768547,5.00190866187899e-07,3.01079499624177e-10,1.47208341760286e-06,8.75785365825643e-10,457465
"all",225,0.44052625720115,0.000217769847585323,1.2861864693195,0.000629465411477672,4.86298787799528e-07,3.12443308710596e-10,1.42014194923859e-06,9.07065335083834e-10,462244
"all",241,0.46207022844707,0.000224826818105416,1.33384673495241,0.00064327353518905,5.02172654446423e-07,3.31391070060378e-10,1.44980522501311e-06,9.55394715747634e-10,466017
"all",257,0.479374463390539,0.000225397822578449,1.36444089674709,0.000635591249084339,5.01931720817112e-07,3.39611217998949e-10,1.42832095423874e-06,9.60257792095587e-10,465307
"all",273,0.515532518634069,0.000234939425306076,1.44426067200023,0.00064730051944659,5.38317408659265e-07,3.32920217604933e-10,1.50830877642568e-06,9.23570273148397e-10,470380
"all",289,0.560569463862977,0.000269040130236701,1.55390031382819,0.000724756275875171,6.13814186214413e-07,4.07408209862021e-10,1.70222660797426e-06,1.11528945175464e-09,449524
"all",305,0.582207740931853,0.000340753873178963,1.60879936844083,0.000905742060826842,6.57018383470199e-07,5.22008659102657e-10,1.81675063980965e-06,1.41676933300815e-09,363278
"all",321,0.582187080859459,0.000407373874459792,1.61704148296871,0.0010868982221685,6.46737544714818e-07,5.61144500573627e-10,1.79954318878677e-06,1.54257910799718e-09,257257
"all",337,0.557726044108552,0.000428995489651264,1.56394005540814,0.00114669421293345,6.44746428049551e-07,6.33640495893056e-10,1.81068945384388e-06,1.74222878053484e-09,244846
"all",353,0.577098546876567,0.000465030283491109,1.63279830047817,0.00124672725029536,6.50756694044622e-07,6.49439563628447e-10,1.84561964762178e-06,1.80786637205929e-09,214464
